"genes","isoforms"
"AT1G07890","AT1G07890_P5"
"AT1G07940","AT1G07940_P1"
"AT1G07940","AT1G07940_P4"
"AT1G08450","AT1G08450_ID8"
"AT1G08450","AT1G08450_JS1"
"AT1G08450","AT1G08450_P1"
"AT1G08460","AT1G08460_P1"
"AT1G08460","AT1G08460_P2"
"AT1G08570","AT1G08570_ID9"
"AT1G08570","AT1G08570_JC10"
"AT1G08570","AT1G08570_P1"
"AT1G08630","AT1G08630.2"
"AT1G08630","AT1G08630_JC3"
"AT1G08660","AT1G08660_ID12"
"AT1G08660","AT1G08660_P1"
"AT1G08660","AT1G08660_P2"
"AT1G08680","AT1G08680.2"
"AT1G08680","AT1G08680_ID17"
"AT1G08890","AT1G08890_c3"
"AT1G08890","AT1G08890_JS3"
"AT1G08890","AT1G08890_P1"
"AT1G08900","AT1G08900_ID25"
"AT1G08900","AT1G08900_P2"
"AT1G08920","AT1G08920.3"
"AT1G08920","AT1G08920_P1"
"AT1G08980","AT1G08980_ID7"
"AT1G08980","AT1G08980_P1"
"AT1G09140","AT1G09140_CR3"
"AT1G09140","AT1G09140_P1"
"AT1G09140","AT1G09140_P2"
"AT1G09350","AT1G09350_JC3"
"AT1G09350","AT1G09350_P1"
"AT1G09530","AT1G09530_P1"
"AT1G09530","AT1G09530_P2"
"AT1G09530","AT1G09530_P3"
"AT1G09710","AT1G09710_P1"
"AT1G09710","AT1G09710_P3"
"AT1G10360","AT1G10360_ID1"
"AT1G10360","AT1G10360_P1"
"AT1G10490","AT1G10490.1"
"AT1G10490","AT1G10490_JS4"
"AT1G10490","AT1G10490_P1"
"AT1G10570","AT1G10570_JC12"
"AT1G10570","AT1G10570_P1"
"AT1G10590","AT1G10590.3"
"AT1G10590","AT1G10590_ID2"
"AT1G10600","AT1G10600.2"
"AT1G10600","AT1G10600_ID7"
"AT1G10650","AT1G10650_JS1"
"AT1G10650","AT1G10650_P1"
"AT1G10657","AT1G10657_ID2"
"AT1G10657","AT1G10657_P3"
"AT1G10660","AT1G10660_ID2"
"AT1G10660","AT1G10660_P1"
"AT1G10660","AT1G10660_P2"
"AT1G10670","AT1G10670.3"
"AT1G10670","AT1G10670_P2"
"AT1G10740","AT1G10740.3"
"AT1G10740","AT1G10740_P2"
"AT1G10760","AT1G10760.1"
"AT1G10760","AT1G10760_JC4"
"AT1G10760","AT1G10760_P1"
"AT1G10890","AT1G10890_c4"
"AT1G10890","AT1G10890_JS3"
"AT1G10890","AT1G10890_P2"
"AT1G10890","AT1G10890_P3"
"AT1G10910","AT1G10910_ID6"
"AT1G10910","AT1G10910_JS2"
"AT1G10910","AT1G10910_P1"
"AT1G10910","AT1G10910_P2"
"AT1G11210","AT1G11210_ID3"
"AT1G11210","AT1G11210_P1"
"AT1G11310","AT1G11310.2"
"AT1G11310","AT1G11310_P1"
"AT1G11330","AT1G11330_c1"
"AT1G11330","AT1G11330_ID1"
"AT1G11330","AT1G11330_P2"
"AT1G11330","AT1G11330_P3"
"AT1G11360","AT1G11360_P1"
"AT1G11360","AT1G11360_P4"
"AT1G11840","AT1G11840.6"
"AT1G11840","AT1G11840_P1"
"AT1G11840","AT1G11840_P2"
"AT1G11860","AT1G11860_ID3"
"AT1G11860","AT1G11860_ID8"
"AT1G11860","AT1G11860_P3"
"AT1G12110","AT1G12110_ID4"
"AT1G12110","AT1G12110_P1"
"AT1G12250","AT1G12250.2"
"AT1G12250","AT1G12250_P1"
"AT1G12250","AT1G12250_P3"
"AT1G12710","AT1G12710_c2"
"AT1G12710","AT1G12710_P1"
"AT1G13080","AT1G13080_c1"
"AT1G13080","AT1G13080_P1"
"AT1G13090","AT1G13090.1"
"AT1G13090","AT1G13090_P1"
"AT1G13350","AT1G13350_ID2"
"AT1G13350","AT1G13350_JC14"
"AT1G13350","AT1G13350_P1"
"AT1G13448","AT1G13448.1"
"AT1G13448","AT1G13448_ID2"
"AT1G13470","AT1G13470_JS1"
"AT1G13470","AT1G13470_P1"
"AT1G13650","AT1G13650_P1"
"AT1G13650","AT1G13650_P2"
"AT1G13650","AT1G13650_P4"
"AT1G13730","AT1G13730_P1"
"AT1G13730","AT1G13730_s1"
"AT1G13860","AT1G13860.4"
"AT1G13860","AT1G13860_P3"
"AT1G14250","AT1G14250_JC5"
"AT1G14250","AT1G14250_P1"
"AT1G14320","AT1G14320_P1"
"AT1G14320","AT1G14320_P2"
"AT1G14520","AT1G14520_JS3"
"AT1G14520","AT1G14520_P1"
"AT1G14520","AT1G14520_P3"
"AT1G14520","AT1G14520_P4"
"AT1G14570","AT1G14570.3"
"AT1G14570","AT1G14570_JS1"
"AT1G14580","AT1G14580_JS5"
"AT1G14580","AT1G14580_P1"
"AT1G14580","AT1G14580_P2"
"AT1G14700","AT1G14700_P1"
"AT1G14700","AT1G14700_P4"
"AT1G14820","AT1G14820.2"
"AT1G14820","AT1G14820_c1"
"AT1G14820","AT1G14820_JS1"
"AT1G15020","AT1G15020_ID10"
"AT1G15020","AT1G15020_ID9"
"AT1G15060","AT1G15060_ID2"
"AT1G15060","AT1G15060_s1"
"AT1G15125","AT1G15125_P1"
"AT1G15125","AT1G15125_P2"
"AT1G15200","AT1G15200.1"
"AT1G15200","AT1G15200_ID3"
"AT1G15215","AT1G15215_P2"
"AT1G15215","AT1G15215_P4"
"AT1G15280","AT1G15280_c1"
"AT1G15280","AT1G15280_c3"
"AT1G15290","AT1G15290_JS4"
"AT1G15290","AT1G15290_P1"
"AT1G15400","AT1G15400_ID2"
"AT1G15400","AT1G15400_P2"
"AT1G15410","AT1G15410_ID2"
"AT1G15410","AT1G15410_P2"
"AT1G15420","AT1G15420_P1"
"AT1G15420","AT1G15420_P2"
"AT1G15750","AT1G15750.2"
"AT1G15750","AT1G15750_c1"
"AT1G15790","AT1G15790_P1"
"AT1G15790","AT1G15790_P2"
"AT1G15790","AT1G15790_P4"
"AT1G15885","AT1G15885_ID2"
"AT1G15885","AT1G15885_P1"
"AT1G15930","AT1G15930_c1"
"AT1G15930","AT1G15930_P1"
"AT1G15930","AT1G15930_P2"
"AT1G15950","AT1G15950_P1"
"AT1G15950","AT1G15950_P7"
"AT1G16260","AT1G16260.1"
"AT1G16260","AT1G16260_ID2"
"AT1G16460","AT1G16460_ID70"
"AT1G16460","AT1G16460_P6"
"AT1G16840","AT1G16840_P1"
"AT1G16840","AT1G16840_P4"
"AT1G17440","AT1G17440_c1"
"AT1G17440","AT1G17440_ID4"
"AT1G17850","AT1G17850.2"
"AT1G17850","AT1G17850_ID8"
"AT1G17990","AT1G17990_ID4"
"AT1G17990","AT1G17990_JC6"
"AT1G17990","AT1G17990_P1"
"AT1G18200","AT1G18200.1"
"AT1G18200","AT1G18200_ID1"
"AT1G18460","AT1G18460_ID3"
"AT1G18460","AT1G18460_P1"
"AT1G18540","AT1G18540.1"
"AT1G18540","AT1G18540_c1"
"AT1G18620","AT1G18620_JS1"
"AT1G18620","AT1G18620_P1"
"AT1G18650","AT1G18650.1"
"AT1G18650","AT1G18650_ID2"
"AT1G18660","AT1G18660_ID7"
"AT1G18660","AT1G18660_P2"
"AT1G18660","AT1G18660_P4"
"AT1G18773","AT1G18773_P1"
"AT1G18773","AT1G18773_P4"
"AT1G18870","AT1G18870.1"
"AT1G18870","AT1G18870_ID5"
"AT1G18900","AT1G18900.1"
"AT1G18900","AT1G18900_ID6"
"AT1G19000","AT1G19000_P1"
"AT1G19000","AT1G19000_P2"
"AT1G19050","AT1G19050_ID1"
"AT1G19050","AT1G19050_ID2"
"AT1G19050","AT1G19050_ID4"
"AT1G19080","AT1G19080_ID4"
"AT1G19080","AT1G19080_ID5"
"AT1G19330","AT1G19330_ID5"
"AT1G19330","AT1G19330_P2"
"AT1G19350","AT1G19350.3"
"AT1G19350","AT1G19350_ID2"
"AT1G19350","AT1G19350_ID4"
"AT1G19394","AT1G19394.1"
"AT1G19394","AT1G19394_ID1"
"AT1G19397","AT1G19397.1"
"AT1G19397","AT1G19397_ID1"
"AT1G19400","AT1G19400_P1"
"AT1G19400","AT1G19400_P2"
"AT1G19650","AT1G19650_P1"
"AT1G19650","AT1G19650_P2"
"AT1G19660","AT1G19660_ID4"
"AT1G19660","AT1G19660_P1"
"AT1G19690","AT1G19690.1"
"AT1G19690","AT1G19690_c1"
"AT1G19690","AT1G19690_ID7"
"AT1G19700","AT1G19700_ID28"
"AT1G19700","AT1G19700_ID36"
"AT1G19700","AT1G19700_P3"
"AT1G19990","AT1G19990.1"
"AT1G19990","AT1G19990_s1"
"AT1G20450","AT1G20450.2"
"AT1G20450","AT1G20450_P1"
"AT1G20510","AT1G20510_P1"
"AT1G20510","AT1G20510_P3"
"AT1G20620","AT1G20620.2"
"AT1G20620","AT1G20620.5"
"AT1G20620","AT1G20620_P1"
"AT1G20620","AT1G20620_P4"
"AT1G20620","AT1G20620_P6"
"AT1G20620","AT1G20620_P7"
"AT1G20696","AT1G20696.3"
"AT1G20696","AT1G20696_P1"
"AT1G20696","AT1G20696_P4"
"AT1G20696","AT1G20696_P5"
"AT1G20780","AT1G20780_P1"
"AT1G20780","AT1G20780_P3"
"AT1G20810","AT1G20810.1"
"AT1G20810","AT1G20810_ID1"
"AT1G20810","AT1G20810_s1"
"AT1G20920","AT1G20920_P1"
"AT1G20920","AT1G20920_P3"
"AT1G20920","AT1G20920_P4"
"AT1G21060","AT1G21060_ID2"
"AT1G21060","AT1G21060_P1"
"AT1G21270","AT1G21270.1"
"AT1G21270","AT1G21270_ID4"
"AT1G21400","AT1G21400_ID3"
"AT1G21400","AT1G21400_P5"
"AT1G21400","AT1G21400_P6"
"AT1G21440","AT1G21440.1"
"AT1G21440","AT1G21440_ID3"
"AT1G21500","AT1G21500_ID1"
"AT1G21500","AT1G21500_P1"
"AT1G21770","AT1G21770.1"
"AT1G21770","AT1G21770_ID2"
"AT1G22370","AT1G22370_P1"
"AT1G22370","AT1G22370_P2"
"AT1G22750","AT1G22750_ID3"
"AT1G22750","AT1G22750_P1"
"AT1G22750","AT1G22750_P4"
"AT1G23080","AT1G23080_c1"
"AT1G23080","AT1G23080_c4"
"AT1G23090","AT1G23090_P1"
"AT1G23090","AT1G23090_P2"
"AT1G23280","AT1G23280_JC11"
"AT1G23280","AT1G23280_P1"
"AT1G23310","AT1G23310.2"
"AT1G23310","AT1G23310_P1"
"AT1G24070","AT1G24070_ID14"
"AT1G24070","AT1G24070_ID6"
"AT1G24070","AT1G24070_s1"
"AT1G24148","AT1G24148_ID3"
"AT1G24148","AT1G24148_P1"
"AT1G24148","AT1G24148_P2"
"AT1G24470","AT1G24470_JS1"
"AT1G24470","AT1G24470_P1"
"AT1G24764","AT1G24764_JC4"
"AT1G24764","AT1G24764_P1"
"AT1G24793","AT1G24793.1"
"AT1G24793","AT1G24793_ID2"
"AT1G24793","AT1G24793_ID4"
"AT1G24825","AT1G24825_ID3"
"AT1G24825","AT1G24825_ID5"
"AT1G25098","AT1G25098_c1"
"AT1G25098","AT1G25098_ID1"
"AT1G25250","AT1G25250_JS2"
"AT1G25250","AT1G25250_P3"
"AT1G25400","AT1G25400.2"
"AT1G25400","AT1G25400_P1"
"AT1G25420","AT1G25420_P1"
"AT1G25420","AT1G25420_P2"
"AT1G26150","AT1G26150_ID1"
"AT1G26150","AT1G26150_P1"
"AT1G26208","AT1G26208_s1"
"AT1G26208","AT1G26208_s2"
"AT1G26230","AT1G26230.2"
"AT1G26230","AT1G26230_JC3"
"AT1G26230","AT1G26230_JC7"
"AT1G26340","AT1G26340_JS1"
"AT1G26340","AT1G26340_P1"
"AT1G26580","AT1G26580_c1"
"AT1G26580","AT1G26580_P1"
"AT1G26670","AT1G26670_JS1"
"AT1G26670","AT1G26670_P1"
"AT1G26880","AT1G26880.1"
"AT1G26880","AT1G26880.2"
"AT1G27020","AT1G27020_ID3"
"AT1G27020","AT1G27020_P1"
"AT1G27290","AT1G27290_ID2"
"AT1G27290","AT1G27290_P1"
"AT1G27450","AT1G27450_P1"
"AT1G27450","AT1G27450_P2"
"AT1G27630","AT1G27630_P1"
"AT1G27630","AT1G27630_P2"
"AT1G27630","AT1G27630_s1"
"AT1G27680","AT1G27680_ID1"
"AT1G27680","AT1G27680_P1"
"AT1G27760","AT1G27760.1"
"AT1G27760","AT1G27760.3"
"AT1G27910","AT1G27910_JS1"
"AT1G27910","AT1G27910_JS3"
"AT1G27910","AT1G27910_P1"
"AT1G27920","AT1G27920_ID15"
"AT1G27920","AT1G27920_ID20"
"AT1G27920","AT1G27920_P1"
"AT1G28060","AT1G28060.1"
"AT1G28060","AT1G28060_JC1"
"AT1G28210","AT1G28210_JS2"
"AT1G28210","AT1G28210_P1"
"AT1G28260","AT1G28260.1"
"AT1G28260","AT1G28260.2"
"AT1G28330","AT1G28330.1"
"AT1G28330","AT1G28330_ID1"
"AT1G28330","AT1G28330_P6"
"AT1G28395","AT1G28395_P1"
"AT1G28395","AT1G28395_P2"
"AT1G28395","AT1G28395_P3"
"AT1G28395","AT1G28395_P4"
"AT1G28395","AT1G28395_P5"
"AT1G28395","AT1G28395_s1"
"AT1G28520","AT1G28520_ID8"
"AT1G28520","AT1G28520_P2"
"AT1G28580","AT1G28580_P1"
"AT1G28580","AT1G28580_P2"
"AT1G28600","AT1G28600.2"
"AT1G28600","AT1G28600_JC4"
"AT1G28600","AT1G28600_P1"
"AT1G28600","AT1G28600_s1"
"AT1G28660","AT1G28660_ID6"
"AT1G28660","AT1G28660_P1"
"AT1G29120","AT1G29120_JC5"
"AT1G29120","AT1G29120_P1"
"AT1G29320","AT1G29320_ID2"
"AT1G29320","AT1G29320_P1"
"AT1G29357","AT1G29357_ID5"
"AT1G29357","AT1G29357_ID7"
"AT1G29400","AT1G29400.1"
"AT1G29400","AT1G29400_P2"
"AT1G29600","AT1G29600_c1"
"AT1G29600","AT1G29600_P2"
"AT1G29800","AT1G29800_ID4"
"AT1G29800","AT1G29800_P1"
"AT1G29930","AT1G29930_c1"
"AT1G29930","AT1G29930_P1"
"AT1G29940","AT1G29940.1"
"AT1G29940","AT1G29940_JS1"
"AT1G30200","AT1G30200_ID1"
"AT1G30200","AT1G30200_P1"
"AT1G30200","AT1G30200_P2"
"AT1G30520","AT1G30520_P1"
"AT1G30520","AT1G30520_P2"
"AT1G30520","AT1G30520_P3"
"AT1G30520","AT1G30520_P4"
"AT1G30690","AT1G30690_P1"
"AT1G30690","AT1G30690_P2"
"AT1G30910","AT1G30910_ID2"
"AT1G30910","AT1G30910_P1"
"AT1G31170","AT1G31170_P1"
"AT1G31170","AT1G31170_P5"
"AT1G31540","AT1G31540_ID2"
"AT1G31540","AT1G31540_P1"
"AT1G31540","AT1G31540_P2"
"AT1G31870","AT1G31870_JS3"
"AT1G31870","AT1G31870_P2"
"AT1G32070","AT1G32070_ID5"
"AT1G32070","AT1G32070_P2"
"AT1G32127","AT1G32127_P1"
"AT1G32127","AT1G32127_P2"
"AT1G32230","AT1G32230.1"
"AT1G32230","AT1G32230.3"
"AT1G32230","AT1G32230_JS11"
"AT1G32230","AT1G32230_JS9"
"AT1G32230","AT1G32230_s2"
"AT1G32330","AT1G32330_c1"
"AT1G32330","AT1G32330_P1"
"AT1G32330","AT1G32330_P2"
"AT1G32540","AT1G32540_P2"
"AT1G32540","AT1G32540_P3"
"AT1G32540","AT1G32540_P5"
"AT1G32700","AT1G32700_JS1"
"AT1G32700","AT1G32700_P1"
"AT1G32860","AT1G32860_ID1"
"AT1G32860","AT1G32860_P1"
"AT1G32900","AT1G32900_ID2"
"AT1G32900","AT1G32900_P1"
"AT1G33230","AT1G33230_ID1"
"AT1G33230","AT1G33230_JS1"
"AT1G33230","AT1G33230_P1"
"AT1G33970","AT1G33970_P1"
"AT1G33970","AT1G33970_P4"
"AT1G34320","AT1G34320_ID42"
"AT1G34320","AT1G34320_P2"
"AT1G34370","AT1G34370_c2"
"AT1G34370","AT1G34370_ID1"
"AT1G34640","AT1G34640.1"
"AT1G34640","AT1G34640_ID1"
"AT1G35320","AT1G35320_P1"
"AT1G35320","AT1G35320_P3"
"AT1G35510","AT1G35510_ID8"
"AT1G35510","AT1G35510_JS3"
"AT1G35516","AT1G35516.1"
"AT1G35516","AT1G35516_ID1"
"AT1G35612","AT1G35612_ID2"
"AT1G35612","AT1G35612_s2"
"AT1G35710","AT1G35710_c1"
"AT1G35710","AT1G35710_P1"
"AT1G35710","AT1G35710_s1"
"AT1G35710","AT1G35710_s2"
"AT1G36310","AT1G36310_P1"
"AT1G36310","AT1G36310_P2"
"AT1G37130","AT1G37130_c2"
"AT1G37130","AT1G37130_P1"
"AT1G41880","AT1G41880.1"
"AT1G41880","AT1G41880_c1"
"AT1G41880","AT1G41880_P2"
"AT1G42440","AT1G42440_JS1"
"AT1G42440","AT1G42440_P1"
"AT1G43170","AT1G43170_ID4"
"AT1G43170","AT1G43170_P1"
"AT1G43580","AT1G43580_JS4"
"AT1G43580","AT1G43580_P1"
"AT1G43670","AT1G43670_ID24"
"AT1G43670","AT1G43670_P1"
"AT1G43675","AT1G43675_JC1"
"AT1G43675","AT1G43675_JC2"
"AT1G44100","AT1G44100_P1"
"AT1G44100","AT1G44100_s1"
"AT1G44446","AT1G44446.3"
"AT1G44446","AT1G44446_P1"
"AT1G44446","AT1G44446_P2"
"AT1G44446","AT1G44446_P4"
"AT1G44750","AT1G44750_JS7"
"AT1G44750","AT1G44750_P6"
"AT1G44770","AT1G44770.2"
"AT1G44770","AT1G44770_P1"
"AT1G44790","AT1G44790.1"
"AT1G44790","AT1G44790_ID1"
"AT1G45191","AT1G45191_JC7"
"AT1G45191","AT1G45191_JS3"
"AT1G45191","AT1G45191_JS4"
"AT1G45191","AT1G45191_P3"
"AT1G45191","AT1G45191_P5"
"AT1G45201","AT1G45201_P2"
"AT1G45201","AT1G45201_P3"
"AT1G45332","AT1G45332_c2"
"AT1G45332","AT1G45332_P1"
"AT1G46768","AT1G46768_P1"
"AT1G46768","AT1G46768_P2"
"AT1G46768","AT1G46768_P3"
"AT1G47490","AT1G47490_P1"
"AT1G47490","AT1G47490_P2"
"AT1G47500","AT1G47500_P1"
"AT1G47500","AT1G47500_P2"
"AT1G47510","AT1G47510_ID1"
"AT1G47510","AT1G47510_P1"
"AT1G47530","AT1G47530_ID4"
"AT1G47530","AT1G47530_P1"
"AT1G48030","AT1G48030_JS2"
"AT1G48030","AT1G48030_JS3"
"AT1G48030","AT1G48030_P1"
"AT1G48430","AT1G48430_ID4"
"AT1G48430","AT1G48430_P1"
"AT1G48430","AT1G48430_P2"
"AT1G48540","AT1G48540.1"
"AT1G48540","AT1G48540_s1"
"AT1G48540","AT1G48540_s2"
"AT1G49050","AT1G49050_ID4"
"AT1G49050","AT1G49050_P1"
"AT1G49130","AT1G49130_ID1"
"AT1G49130","AT1G49130_ID2"
"AT1G49480","AT1G49480_P1"
"AT1G49480","AT1G49480_P2"
"AT1G49975","AT1G49975_P1"
"AT1G49975","AT1G49975_s1"
"AT1G50200","AT1G50200_JS2"
"AT1G50200","AT1G50200_JS4"
"AT1G50440","AT1G50440_ID12"
"AT1G50440","AT1G50440_ID14"
"AT1G50440","AT1G50440_P1"
"AT1G51070","AT1G51070_ID13"
"AT1G51070","AT1G51070_ID4"
"AT1G51110","AT1G51110_ID2"
"AT1G51110","AT1G51110_ID8"
"AT1G51110","AT1G51110_P1"
"AT1G51140","AT1G51140_JS1"
"AT1G51140","AT1G51140_P1"
"AT1G51430","AT1G51430_ID2"
"AT1G51430","AT1G51430_ID7"
"AT1G51805","AT1G51805_JC6"
"AT1G51805","AT1G51805_P1"
"AT1G51805","AT1G51805_s2"
"AT1G52000","AT1G52000_JS5"
"AT1G52000","AT1G52000_P1"
"AT1G52000","AT1G52000_P2"
"AT1G52030","AT1G52030_P1"
"AT1G52030","AT1G52030_P3"
"AT1G52220","AT1G52220.3"
"AT1G52220","AT1G52220_P1"
"AT1G52220","AT1G52220_P4"
"AT1G52290","AT1G52290_P1"
"AT1G52290","AT1G52290_P2"
"AT1G52400","AT1G52400.2"
"AT1G52400","AT1G52400_P1"
"AT1G52710","AT1G52710_ID4"
"AT1G52710","AT1G52710_P2"
"AT1G53090","AT1G53090_P2"
"AT1G53090","AT1G53090_P3"
"AT1G53100","AT1G53100_ID8"
"AT1G53100","AT1G53100_P1"
"AT1G53280","AT1G53280.1"
"AT1G53280","AT1G53280_ID6"
"AT1G53280","AT1G53280_JS3"
"AT1G53510","AT1G53510_ID6"
"AT1G53510","AT1G53510_P1"
"AT1G53590","AT1G53590_ID8"
"AT1G53590","AT1G53590_JS1"
"AT1G53780","AT1G53780_P3"
"AT1G53780","AT1G53780_P4"
"AT1G53800","AT1G53800_ID4"
"AT1G53800","AT1G53800_P1"
"AT1G53800","AT1G53800_P3"
"AT1G54100","AT1G54100_P1"
"AT1G54100","AT1G54100_P2"
"AT1G54380","AT1G54380_c3"
"AT1G54380","AT1G54380_P1"
"AT1G54610","AT1G54610_c1"
"AT1G54610","AT1G54610_P2"
"AT1G54690","AT1G54690.1"
"AT1G54690","AT1G54690_ID2"
"AT1G54920","AT1G54920_ID4"
"AT1G54920","AT1G54920_P2"
"AT1G55000","AT1G55000_ID1"
"AT1G55000","AT1G55000_ID2"
"AT1G55000","AT1G55000_P1"
"AT1G55110","AT1G55110_JS4"
"AT1G55110","AT1G55110_P1"
"AT1G55310","AT1G55310_ID3"
"AT1G55310","AT1G55310_P1"
"AT1G55310","AT1G55310_P4"
"AT1G55320","AT1G55320_ID2"
"AT1G55320","AT1G55320_ID5"
"AT1G55320","AT1G55320_P1"
"AT1G55490","AT1G55490_P2"
"AT1G55490","AT1G55490_P3"
"AT1G55500","AT1G55500_ID4"
"AT1G55500","AT1G55500_P2"
"AT1G55500","AT1G55500_P3"
"AT1G55500","AT1G55500_P4"
"AT1G55500","AT1G55500_P5"
"AT1G55690","AT1G55690_P1"
"AT1G55690","AT1G55690_P3"
