"genes","isoforms"
"AT1G02930","AT1G02930_P1"
"AT1G02960","AT1G02960_P2"
"AT1G02960","AT1G02960_P4"
"AT1G03000","AT1G03000_ID4"
"AT1G03000","AT1G03000_P1"
"AT1G03010","AT1G03010_JS2"
"AT1G03010","AT1G03010_P1"
"AT1G03055","AT1G03055_P1"
"AT1G03055","AT1G03055_P2"
"AT1G03060","AT1G03060_JS7"
"AT1G03060","AT1G03060_P2"
"AT1G03080","AT1G03080.1"
"AT1G03080","AT1G03080_JC6"
"AT1G03090","AT1G03090_P1"
"AT1G03090","AT1G03090_P2"
"AT1G03100","AT1G03100_P1"
"AT1G03100","AT1G03100_s1"
"AT1G03190","AT1G03190_P1"
"AT1G03190","AT1G03190_s1"
"AT1G03210","AT1G03210_ID4"
"AT1G03210","AT1G03210_P1"
"AT1G03260","AT1G03260_c1"
"AT1G03260","AT1G03260_P1"
"AT1G03290","AT1G03290.1"
"AT1G03290","AT1G03290.2"
"AT1G03310","AT1G03310_P1"
"AT1G03310","AT1G03310_P2"
"AT1G03410","AT1G03410.1"
"AT1G03410","AT1G03410_c1"
"AT1G03457","AT1G03457_P1"
"AT1G03457","AT1G03457_P2"
"AT1G03470","AT1G03470_ID1"
"AT1G03470","AT1G03470_s2"
"AT1G03520","AT1G03520_ID4"
"AT1G03520","AT1G03520_P1"
"AT1G03550","AT1G03550.1"
"AT1G03550","AT1G03550_ID16"
"AT1G03550","AT1G03550_P4"
"AT1G03770","AT1G03770.1"
"AT1G03770","AT1G03770_ID2"
"AT1G03905","AT1G03905_P1"
"AT1G03905","AT1G03905_P3"
"AT1G03960","AT1G03960_c1"
"AT1G03960","AT1G03960_P1"
"AT1G03960","AT1G03960_P2"
"AT1G03960","AT1G03960_P3"
"AT1G04010","AT1G04010_ID3"
"AT1G04010","AT1G04010_P1"
"AT1G04020","AT1G04020.1"
"AT1G04020","AT1G04020_P1"
"AT1G04030","AT1G04030_P1"
"AT1G04030","AT1G04030_s1"
"AT1G04160","AT1G04160_c2"
"AT1G04160","AT1G04160_P1"
"AT1G04280","AT1G04280_c2"
"AT1G04280","AT1G04280_P1"
"AT1G04280","AT1G04280_P2"
"AT1G04300","AT1G04300.2"
"AT1G04300","AT1G04300_P1"
"AT1G04310","AT1G04310_c2"
"AT1G04310","AT1G04310_P1"
"AT1G04350","AT1G04350_c1"
"AT1G04350","AT1G04350_ID2"
"AT1G04350","AT1G04350_P1"
"AT1G04390","AT1G04390_JS4"
"AT1G04390","AT1G04390_P1"
"AT1G04425","AT1G04425.1"
"AT1G04425","AT1G04425_s1"
"AT1G04425","AT1G04425_s3"
"AT1G04570","AT1G04570_P1"
"AT1G04570","AT1G04570_P2"
"AT1G04600","AT1G04600_JS2"
"AT1G04600","AT1G04600_P1"
"AT1G04620","AT1G04620_JC2"
"AT1G04620","AT1G04620_P1"
"AT1G04810","AT1G04810_c1"
"AT1G04810","AT1G04810_P1"
"AT1G04830","AT1G04830.2"
"AT1G04830","AT1G04830_P1"
"AT1G04910","AT1G04910.1"
"AT1G04910","AT1G04910_ID1"
"AT1G04970","AT1G04970_P1"
"AT1G04970","AT1G04970_P2"
"AT1G04970","AT1G04970_P3"
"AT1G04990","AT1G04990.1"
"AT1G04990","AT1G04990_P6"
"AT1G05030","AT1G05030_P1"
"AT1G05030","AT1G05030_s2"
"AT1G05070","AT1G05070_P1"
"AT1G05070","AT1G05070_s1"
"AT1G05160","AT1G05160.1"
"AT1G05160","AT1G05160_ID3"
"AT1G05200","AT1G05200.2"
"AT1G05200","AT1G05200_ID1"
"AT1G05230","AT1G05230.4"
"AT1G05230","AT1G05230_ID6"
"AT1G05230","AT1G05230_P2"
"AT1G05310","AT1G05310_P1"
"AT1G05310","AT1G05310_s1"
"AT1G05320","AT1G05320.2"
"AT1G05320","AT1G05320_P1"
"AT1G05320","AT1G05320_P4"
"AT1G05360","AT1G05360_P1"
"AT1G05360","AT1G05360_s2"
"AT1G05380","AT1G05380.1"
"AT1G05380","AT1G05380.2"
"AT1G05380","AT1G05380_P3"
"AT1G05540","AT1G05540_JS1"
"AT1G05540","AT1G05540_P1"
"AT1G05540","AT1G05540_P2"
"AT1G05590","AT1G05590_P2"
"AT1G05590","AT1G05590_P3"
"AT1G05600","AT1G05600.1"
"AT1G05600","AT1G05600.2"
"AT1G05600","AT1G05600_P2"
"AT1G05630","AT1G05630_P1"
"AT1G05630","AT1G05630_P2"
"AT1G05670","AT1G05670_P1"
"AT1G05670","AT1G05670_P2"
"AT1G05710","AT1G05710_P10"
"AT1G05710","AT1G05710_P2"
"AT1G05710","AT1G05710_P3"
"AT1G05720","AT1G05720_JS1"
"AT1G05720","AT1G05720_P1"
"AT1G05750","AT1G05750.1"
"AT1G05750","AT1G05750_P2"
"AT1G05820","AT1G05820_P1"
"AT1G05820","AT1G05820_P3"
"AT1G05830","AT1G05830_JC5"
"AT1G05830","AT1G05830_P1"
"AT1G05830","AT1G05830_P4"
"AT1G05860","AT1G05860_P1"
"AT1G05860","AT1G05860_P2"
"AT1G05870","AT1G05870_P1"
"AT1G05870","AT1G05870_P2"
"AT1G05870","AT1G05870_s5"
"AT1G05900","AT1G05900_c1"
"AT1G05900","AT1G05900_P2"
"AT1G05900","AT1G05900_s1"
"AT1G05950","AT1G05950_JS2"
"AT1G05950","AT1G05950_JS3"
"AT1G05950","AT1G05950_P1"
"AT1G05950","AT1G05950_P4"
"AT1G05970","AT1G05970_P1"
"AT1G05970","AT1G05970_P2"
"AT1G06040","AT1G06040_c1"
"AT1G06040","AT1G06040_c2"
"AT1G06050","AT1G06050_JC3"
"AT1G06050","AT1G06050_P1"
"AT1G06070","AT1G06070_ID4"
"AT1G06070","AT1G06070_P1"
"AT1G06150","AT1G06150_P1"
"AT1G06150","AT1G06150_P2"
"AT1G06180","AT1G06180_P1"
"AT1G06180","AT1G06180_s1"
"AT1G06220","AT1G06220_P1"
"AT1G06220","AT1G06220_P2"
"AT1G06230","AT1G06230_P1"
"AT1G06230","AT1G06230_P2"
"AT1G06230","AT1G06230_P3"
"AT1G06265","AT1G06265.1"
"AT1G06265","AT1G06265_ID2"
"AT1G06265","AT1G06265_ID4"
"AT1G06270","AT1G06270_c1"
"AT1G06270","AT1G06270_P1"
"AT1G06370","AT1G06370_c2"
"AT1G06370","AT1G06370_ID14"
"AT1G06370","AT1G06370_ID16"
"AT1G06370","AT1G06370_ID19"
"AT1G06390","AT1G06390_P1"
"AT1G06390","AT1G06390_P2"
"AT1G06470","AT1G06470_ID4"
"AT1G06470","AT1G06470_ID8"
"AT1G06500","AT1G06500.1"
"AT1G06500","AT1G06500_ID4"
"AT1G06515","AT1G06515.2"
"AT1G06515","AT1G06515_ID2"
"AT1G06590","AT1G06590_JS12"
"AT1G06590","AT1G06590_P1"
"AT1G06645","AT1G06645.1"
"AT1G06645","AT1G06645_ID1"
"AT1G06645","AT1G06645_ID2"
"AT1G06645","AT1G06645_ID3"
"AT1G06700","AT1G06700_P1"
"AT1G06700","AT1G06700_P2"
"AT1G06710","AT1G06710_JS4"
"AT1G06710","AT1G06710_JS7"
"AT1G06710","AT1G06710_P2"
"AT1G06710","AT1G06710_P9"
"AT1G06710","AT1G06710_s1"
"AT1G06770","AT1G06770_P1"
"AT1G06770","AT1G06770_P2"
"AT1G06850","AT1G06850.1"
"AT1G06850","AT1G06850_ID4"
"AT1G06890","AT1G06890_P1"
"AT1G06890","AT1G06890_P3"
"AT1G06890","AT1G06890_P4"
"AT1G06910","AT1G06910_ID2"
"AT1G06910","AT1G06910_P1"
"AT1G06960","AT1G06960_P1"
"AT1G06960","AT1G06960_P2"
"AT1G07010","AT1G07010_ID1"
"AT1G07010","AT1G07010_P1"
"AT1G07050","AT1G07050_c1"
"AT1G07050","AT1G07050_P2"
"AT1G07200","AT1G07200_P2"
"AT1G07200","AT1G07200_s1"
"AT1G07220","AT1G07220_ID2"
"AT1G07220","AT1G07220_P1"
"AT1G07290","AT1G07290_JC10"
"AT1G07290","AT1G07290_P1"
"AT1G07350","AT1G07350_P1"
"AT1G07350","AT1G07350_P2"
"AT1G07350","AT1G07350_P4"
"AT1G07350","AT1G07350_P5"
"AT1G07380","AT1G07380_JS4"
"AT1G07380","AT1G07380_JS5"
"AT1G07420","AT1G07420_P1"
"AT1G07420","AT1G07420_s1"
"AT1G07570","AT1G07570_P1"
"AT1G07570","AT1G07570_P2"
"AT1G07620","AT1G07620_JS4"
"AT1G07620","AT1G07620_P1"
"AT1G07630","AT1G07630_JC3"
"AT1G07630","AT1G07630_P1"
"AT1G07640","AT1G07640_P1"
"AT1G07640","AT1G07640_P3"
"AT1G07700","AT1G07700_P1"
"AT1G07700","AT1G07700_P2"
"AT1G07720","AT1G07720_JC2"
"AT1G07720","AT1G07720_P2"
"AT1G07728","AT1G07728_ID1"
"AT1G07728","AT1G07728_ID2"
"AT1G07745","AT1G07745_ID17"
"AT1G07745","AT1G07745_ID50"
"AT1G07745","AT1G07745_ID59"
"AT1G07745","AT1G07745_ID8"
"AT1G07745","AT1G07745_P1"
"AT1G07745","AT1G07745_P5"
"AT1G07770","AT1G07770_P1"
"AT1G07770","AT1G07770_s1"
"AT1G07780","AT1G07780_P1"
"AT1G07780","AT1G07780_P10"
"AT1G07780","AT1G07780_P2"
"AT1G07820","AT1G07820.2"
"AT1G07820","AT1G07820_ID1"
"AT1G07880","AT1G07880.1"
"AT1G07880","AT1G07880_ID3"
"AT1G07910","AT1G07910_P1"
"AT1G07910","AT1G07910_P2"
"AT1G07960","AT1G07960_ID8"
"AT1G07960","AT1G07960_P4"
"AT1G08030","AT1G08030_P1"
"AT1G08030","AT1G08030_s1"
"AT1G08040","AT1G08040_ID177"
"AT1G08040","AT1G08040_P1"
"AT1G08060","AT1G08060_P1"
"AT1G08060","AT1G08060_P3"
"AT1G08070","AT1G08070_P1"
"AT1G08070","AT1G08070_s1"
"AT1G08110","AT1G08110_P1"
"AT1G08110","AT1G08110_P3"
"AT1G08110","AT1G08110_P4"
"AT1G08125","AT1G08125_ID14"
"AT1G08125","AT1G08125_P1"
"AT1G08230","AT1G08230_P2"
"AT1G08230","AT1G08230_P5"
"AT1G08230","AT1G08230_P6"
"AT1G08300","AT1G08300.1"
"AT1G08300","AT1G08300_P3"
"AT1G08350","AT1G08350.2"
"AT1G08350","AT1G08350_ID2"
"AT1G08350","AT1G08350_JS8"
"AT1G08460","AT1G08460_P1"
"AT1G08460","AT1G08460_P2"
"AT1G08610","AT1G08610.1"
"AT1G08610","AT1G08610_ID1"
"AT1G08620","AT1G08620.2"
"AT1G08620","AT1G08620_ID3"
"AT1G08630","AT1G08630.2"
"AT1G08630","AT1G08630_JC3"
"AT1G08660","AT1G08660_ID12"
"AT1G08660","AT1G08660_P1"
"AT1G08660","AT1G08660_P2"
"AT1G08660","AT1G08660_s1"
"AT1G08680","AT1G08680.2"
"AT1G08680","AT1G08680_P1"
"AT1G08710","AT1G08710_ID7"
"AT1G08710","AT1G08710_P1"
"AT1G08710","AT1G08710_P2"
"AT1G08780","AT1G08780_ID4"
"AT1G08780","AT1G08780_P1"
"AT1G08800","AT1G08800_JS1"
"AT1G08800","AT1G08800_P2"
"AT1G08810","AT1G08810_P1"
"AT1G08810","AT1G08810_P2"
"AT1G08820","AT1G08820_c2"
"AT1G08820","AT1G08820_P2"
"AT1G08840","AT1G08840_P3"
"AT1G08840","AT1G08840_P4"
"AT1G08845","AT1G08845.2"
"AT1G08845","AT1G08845_P1"
"AT1G08900","AT1G08900_P2"
"AT1G08900","AT1G08900_P4"
"AT1G08900","AT1G08900_P5"
"AT1G08910","AT1G08910_c2"
"AT1G08910","AT1G08910_c3"
"AT1G08910","AT1G08910_ID6"
"AT1G08970","AT1G08970_ID2"
"AT1G08970","AT1G08970_P2"
"AT1G09140","AT1G09140_P1"
"AT1G09140","AT1G09140_P2"
"AT1G09160","AT1G09160_P1"
"AT1G09160","AT1G09160_P2"
"AT1G09195","AT1G09195_P10"
"AT1G09195","AT1G09195_P12"
"AT1G09195","AT1G09195_P8"
"AT1G09230","AT1G09230_ID8"
"AT1G09230","AT1G09230_P1"
"AT1G09280","AT1G09280_P1"
"AT1G09280","AT1G09280_s2"
"AT1G09350","AT1G09350_JC3"
"AT1G09350","AT1G09350_P1"
"AT1G09490","AT1G09490_P1"
"AT1G09490","AT1G09490_P2"
"AT1G09500","AT1G09500_P1"
"AT1G09500","AT1G09500_P2"
"AT1G09530","AT1G09530_P1"
"AT1G09530","AT1G09530_P2"
"AT1G09710","AT1G09710_P1"
"AT1G09710","AT1G09710_P3"
"AT1G09800","AT1G09800_P1"
"AT1G09800","AT1G09800_P2"
"AT1G09840","AT1G09840_P1"
"AT1G09840","AT1G09840_P8"
"AT1G09980","AT1G09980.2"
"AT1G09980","AT1G09980_P1"
"AT1G09995","AT1G09995_P1"
"AT1G09995","AT1G09995_P3"
"AT1G10030","AT1G10030.1"
"AT1G10030","AT1G10030_JS1"
"AT1G10050","AT1G10050_c2"
"AT1G10050","AT1G10050_JS9"
"AT1G10050","AT1G10050_P2"
"AT1G10050","AT1G10050_s1"
"AT1G10060","AT1G10060_P4"
"AT1G10060","AT1G10060_P5"
"AT1G10060","AT1G10060_P6"
"AT1G10070","AT1G10070.1"
"AT1G10070","AT1G10070.2"
"AT1G10095","AT1G10095_P1"
"AT1G10095","AT1G10095_P2"
"AT1G10120","AT1G10120_c3"
"AT1G10120","AT1G10120_c4"
"AT1G10120","AT1G10120_P1"
"AT1G10240","AT1G10240_P1"
"AT1G10240","AT1G10240_P2"
"AT1G10320","AT1G10320_c1"
"AT1G10320","AT1G10320_c2"
"AT1G10320","AT1G10320_c3"
"AT1G10320","AT1G10320_ID1"
"AT1G10360","AT1G10360_ID1"
"AT1G10360","AT1G10360_P1"
"AT1G10390","AT1G10390_P1"
"AT1G10390","AT1G10390_P2"
"AT1G10430","AT1G10430_P1"
"AT1G10430","AT1G10430_P2"
"AT1G10490","AT1G10490.1"
"AT1G10490","AT1G10490_JS4"
"AT1G10490","AT1G10490_P1"
"AT1G10522","AT1G10522.2"
"AT1G10522","AT1G10522_P1"
"AT1G10570","AT1G10570_P1"
"AT1G10570","AT1G10570_P2"
"AT1G10570","AT1G10570_P3"
"AT1G10657","AT1G10657_ID2"
"AT1G10657","AT1G10657_JS1"
"AT1G10657","AT1G10657_P2"
"AT1G10657","AT1G10657_P3"
"AT1G10660","AT1G10660_P1"
"AT1G10660","AT1G10660_P2"
"AT1G10740","AT1G10740.3"
"AT1G10740","AT1G10740_P1"
"AT1G10820","AT1G10820_ID13"
"AT1G10820","AT1G10820_P2"
"AT1G10870","AT1G10870_c2"
"AT1G10870","AT1G10870_P1"
"AT1G10890","AT1G10890_c4"
"AT1G10890","AT1G10890_JS3"
"AT1G10890","AT1G10890_P1"
"AT1G10890","AT1G10890_P2"
"AT1G10890","AT1G10890_P3"
"AT1G10910","AT1G10910_P1"
"AT1G10910","AT1G10910_P2"
"AT1G10920","AT1G10920.2"
"AT1G10920","AT1G10920_JC13"
"AT1G10920","AT1G10920_P1"
"AT1G11000","AT1G11000_P1"
"AT1G11000","AT1G11000_P3"
"AT1G11160","AT1G11160_P1"
"AT1G11160","AT1G11160_s1"
"AT1G11160","AT1G11160_s2"
"AT1G11280","AT1G11280_P1"
"AT1G11280","AT1G11280_P2"
"AT1G11300","AT1G11300_P1"
"AT1G11300","AT1G11300_P2"
"AT1G11330","AT1G11330_c1"
"AT1G11330","AT1G11330_P2"
"AT1G11360","AT1G11360.3"
"AT1G11360","AT1G11360_ID1"
"AT1G11360","AT1G11360_P1"
"AT1G11400","AT1G11400.1"
"AT1G11400","AT1G11400.2"
"AT1G11410","AT1G11410_JC1"
"AT1G11410","AT1G11410_JS1"
"AT1G11592","AT1G11592_ID33"
"AT1G11592","AT1G11592_ID45"
"AT1G11730","AT1G11730_JC1"
"AT1G11730","AT1G11730_JS4"
"AT1G11730","AT1G11730_P1"
"AT1G11880","AT1G11880_c1"
"AT1G11880","AT1G11880_ID4"
"AT1G11880","AT1G11880_ID6"
"AT1G11880","AT1G11880_P1"
"AT1G11940","AT1G11940_P1"
"AT1G11940","AT1G11940_P2"
"AT1G11950","AT1G11950_c1"
"AT1G11950","AT1G11950_P1"
"AT1G12220","AT1G12220_P1"
"AT1G12220","AT1G12220_P2"
"AT1G12244","AT1G12244.1"
"AT1G12244","AT1G12244_ID3"
"AT1G12250","AT1G12250.2"
"AT1G12250","AT1G12250_P1"
"AT1G12260","AT1G12260_P1"
"AT1G12260","AT1G12260_P2"
"AT1G12290","AT1G12290_P2"
"AT1G12290","AT1G12290_P3"
"AT1G12350","AT1G12350_ID22"
"AT1G12350","AT1G12350_P1"
"AT1G12400","AT1G12400_P1"
"AT1G12400","AT1G12400_P3"
"AT1G12650","AT1G12650.2"
"AT1G12650","AT1G12650_ID2"
"AT1G12700","AT1G12700_P2"
"AT1G12700","AT1G12700_P3"
"AT1G12700","AT1G12700_s1"
"AT1G12710","AT1G12710_c2"
"AT1G12710","AT1G12710_P1"
"AT1G12730","AT1G12730_ID8"
"AT1G12730","AT1G12730_P1"
"AT1G12730","AT1G12730_s1"
"AT1G12750","AT1G12750_P1"
"AT1G12750","AT1G12750_P3"
"AT1G12880","AT1G12880_ID1"
"AT1G12880","AT1G12880_P1"
"AT1G13000","AT1G13000_P1"
"AT1G13000","AT1G13000_P2"
"AT1G13050","AT1G13050_P1"
"AT1G13050","AT1G13050_P2"
"AT1G13090","AT1G13090.1"
"AT1G13090","AT1G13090_P1"
"AT1G13120","AT1G13120_P1"
"AT1G13120","AT1G13120_s1"
"AT1G13220","AT1G13220_P3"
"AT1G13220","AT1G13220_s2"
"AT1G13350","AT1G13350_ID1"
"AT1G13350","AT1G13350_ID2"
"AT1G13350","AT1G13350_P1"
"AT1G13390","AT1G13390_ID3"
"AT1G13390","AT1G13390_P1"
"AT1G13390","AT1G13390_P2"
"AT1G13410","AT1G13410_ID1"
"AT1G13410","AT1G13410_P1"
"AT1G13448","AT1G13448.1"
"AT1G13448","AT1G13448_ID2"
"AT1G13450","AT1G13450_ID3"
"AT1G13450","AT1G13450_ID5"
"AT1G13460","AT1G13460_P1"
"AT1G13460","AT1G13460_P2"
"AT1G13470","AT1G13470_JS1"
"AT1G13470","AT1G13470_P1"
"AT1G13570","AT1G13570_P1"
"AT1G13570","AT1G13570_P2"
"AT1G13570","AT1G13570_P3"
"AT1G13580","AT1G13580_P2"
"AT1G13580","AT1G13580_P3"
"AT1G13650","AT1G13650_P1"
"AT1G13650","AT1G13650_P2"
"AT1G13650","AT1G13650_P4"
"AT1G13770","AT1G13770_ID93"
"AT1G13770","AT1G13770_P1"
"AT1G13780","AT1G13780_P1"
"AT1G13780","AT1G13780_P2"
"AT1G13800","AT1G13800_JS2"
"AT1G13800","AT1G13800_P1"
"AT1G13860","AT1G13860.4"
"AT1G13860","AT1G13860_JS1"
"AT1G13860","AT1G13860_P3"
"AT1G13880","AT1G13880_ID1"
"AT1G13880","AT1G13880_P1"
"AT1G13920","AT1G13920_c1"
"AT1G13920","AT1G13920_ID4"
"AT1G13920","AT1G13920_P4"
"AT1G13920","AT1G13920_P5"
"AT1G13970","AT1G13970.1"
"AT1G13970","AT1G13970_c2"
"AT1G13980","AT1G13980.2"
"AT1G13980","AT1G13980_P1"
"AT1G13990","AT1G13990_ID2"
"AT1G13990","AT1G13990_P1"
"AT1G14140","AT1G14140.1"
"AT1G14140","AT1G14140_c1"
"AT1G14170","AT1G14170_P1"
"AT1G14170","AT1G14170_P3"
"AT1G14210","AT1G14210_ID2"
"AT1G14210","AT1G14210_P1"
"AT1G14250","AT1G14250_JC5"
"AT1G14250","AT1G14250_P1"
"AT1G14270","AT1G14270.3"
"AT1G14270","AT1G14270_P1"
"AT1G14350","AT1G14350_ID15"
"AT1G14350","AT1G14350_P2"
"AT1G14440","AT1G14440_ID1"
"AT1G14440","AT1G14440_P1"
"AT1G14520","AT1G14520_P1"
"AT1G14520","AT1G14520_P4"
"AT1G14530","AT1G14530_c1"
"AT1G14530","AT1G14530_ID4"
"AT1G14560","AT1G14560_P1"
"AT1G14560","AT1G14560_P2"
"AT1G14580","AT1G14580_P1"
"AT1G14580","AT1G14580_P2"
"AT1G14660","AT1G14660_c1"
"AT1G14660","AT1G14660_c2"
"AT1G14660","AT1G14660_P1"
"AT1G14685","AT1G14685_s1"
"AT1G14685","AT1G14685_s2"
"AT1G14690","AT1G14690_P1"
"AT1G14690","AT1G14690_P2"
"AT1G14710","AT1G14710_P1"
"AT1G14710","AT1G14710_P2"
"AT1G14770","AT1G14770_c1"
"AT1G14770","AT1G14770_P1"
"AT1G14970","AT1G14970_ID5"
"AT1G14970","AT1G14970_ID6"
"AT1G14970","AT1G14970_JS1"
"AT1G14970","AT1G14970_P1"
"AT1G14970","AT1G14970_P3"
"AT1G15020","AT1G15020.1"
"AT1G15020","AT1G15020_ID10"
"AT1G15030","AT1G15030_ID4"
"AT1G15030","AT1G15030_P1"
"AT1G15060","AT1G15060_P1"
"AT1G15060","AT1G15060_s1"
"AT1G15080","AT1G15080_ID4"
"AT1G15080","AT1G15080_P1"
"AT1G15110","AT1G15110.2"
"AT1G15110","AT1G15110_P1"
"AT1G15125","AT1G15125_P1"
"AT1G15125","AT1G15125_P2"
"AT1G15170","AT1G15170_ID2"
"AT1G15170","AT1G15170_P1"
"AT1G15200","AT1G15200.1"
"AT1G15200","AT1G15200_ID4"
"AT1G15215","AT1G15215_JC5"
"AT1G15215","AT1G15215_P2"
"AT1G15215","AT1G15215_P4"
"AT1G15240","AT1G15240.2"
"AT1G15240","AT1G15240_ID6"
"AT1G15280","AT1G15280_c1"
"AT1G15280","AT1G15280_ID5"
"AT1G15280","AT1G15280_P1"
"AT1G15300","AT1G15300.1"
"AT1G15300","AT1G15300_JC2"
"AT1G15350","AT1G15350.1"
"AT1G15350","AT1G15350_s1"
"AT1G15400","AT1G15400_ID1"
"AT1G15400","AT1G15400_ID2"
"AT1G15400","AT1G15400_P2"
"AT1G15410","AT1G15410.1"
"AT1G15410","AT1G15410_ID2"
"AT1G15410","AT1G15410_P2"
"AT1G15490","AT1G15490.1"
"AT1G15490","AT1G15490_c1"
"AT1G15490","AT1G15490_P2"
"AT1G15520","AT1G15520.1"
"AT1G15520","AT1G15520_P2"
"AT1G15750","AT1G15750.2"
"AT1G15750","AT1G15750_P4"
"AT1G15790","AT1G15790_P1"
"AT1G15790","AT1G15790_P2"
"AT1G15790","AT1G15790_P4"
"AT1G15860","AT1G15860_P1"
"AT1G15860","AT1G15860_P2"
"AT1G15870","AT1G15870.1"
"AT1G15870","AT1G15870_c1"
"AT1G15885","AT1G15885_ID2"
"AT1G15885","AT1G15885_P1"
"AT1G15960","AT1G15960_JS14"
"AT1G15960","AT1G15960_JS16"
"AT1G15960","AT1G15960_s4"
"AT1G15970","AT1G15970_P1"
"AT1G15970","AT1G15970_P2"
"AT1G16010","AT1G16010.1"
"AT1G16010","AT1G16010.3"
"AT1G16020","AT1G16020_P1"
"AT1G16020","AT1G16020_P2"
"AT1G16040","AT1G16040_JS2"
"AT1G16040","AT1G16040_P1"
"AT1G16090","AT1G16090.1"
"AT1G16090","AT1G16090_JC1"
"AT1G16180","AT1G16180.2"
"AT1G16180","AT1G16180_P1"
"AT1G16220","AT1G16220_ID2"
"AT1G16220","AT1G16220_P1"
"AT1G16250","AT1G16250_P1"
"AT1G16250","AT1G16250_P2"
"AT1G16260","AT1G16260.1"
"AT1G16260","AT1G16260_ID2"
"AT1G16260","AT1G16260_JC4"
"AT1G16270","AT1G16270_P1"
"AT1G16270","AT1G16270_P2"
"AT1G16340","AT1G16340_ID36"
"AT1G16340","AT1G16340_P2"
"AT1G16390","AT1G16390_P1"
"AT1G16390","AT1G16390_s1"
"AT1G16460","AT1G16460_ID70"
"AT1G16460","AT1G16460_P1"
"AT1G16489","AT1G16489.1"
"AT1G16489","AT1G16489_ID3"
"AT1G16540","AT1G16540_P1"
"AT1G16540","AT1G16540_P2"
